video,event_id,seat_code,timestamp_sec,behavior,severity,risk_score,peak_risk_score,occurrence_count,evidence_clip,sha256
india,ca76736a-fa82-4a7c-b96e-718ebb47853b,SEAT-ROOM-CALIB-01-09,2.77,MULTI_PERSON_DWELL_NEAR_SEAT,HIGH,93.1,93.1,1,data\optimization\after\india\evidence\ca76736a-fa82-4a7c-b96e-718ebb47853b_T9_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,acd62c0098a82d3a...
india,ef061fdd-e3b9-4c84-90ff-7493dcfbd4e0,SEAT-ROOM-CALIB-01-18,7.77,MULTI_PERSON_DWELL_NEAR_SEAT,HIGH,88.0,88.0,1,data\optimization\after\india\evidence\ef061fdd-e3b9-4c84-90ff-7493dcfbd4e0_T18_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,8dcc822cb40cbae8...
india,c43fcb07-91e0-4fe1-8a1c-779b1247db90,SEAT-ROOM-CALIB-01-05,9.83,MULTI_PERSON_DWELL_NEAR_SEAT,HIGH,100.0,100.0,1,data\optimization\after\india\evidence\c43fcb07-91e0-4fe1-8a1c-779b1247db90_T5_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,723d8e93c14249eb...
india,6a543ea3-b3bb-4339-b2ec-46a8aa116dee,SEAT-ROOM-CALIB-01-06,10.13,NEIGHBOR_ORIENTED_LEAN,MEDIUM,81.1,81.1,1,data\optimization\after\india\evidence\6a543ea3-b3bb-4339-b2ec-46a8aa116dee_T6_NEIGHBOR_ORIENTED_LEAN.mp4,9c5218356161b597...
india,0af7ffe2-87e8-4a49-a710-1a94f7786d30,SEAT-ROOM-CALIB-01-07,14.1,REPEATED_NEIGHBOR_GLANCE,MEDIUM,80.1,80.1,1,data\optimization\after\india\evidence\0af7ffe2-87e8-4a49-a710-1a94f7786d30_T7_REPEATED_NEIGHBOR_GLANCE.mp4,431b4fcdeef79a39...
india,c171af21-4495-4d65-a276-a29414fd62b8,SEAT-ROOM-CALIB-01-06,15.13,REPEATED_NEIGHBOR_GLANCE,HIGH,85.5,85.5,1,data\optimization\after\india\evidence\c171af21-4495-4d65-a276-a29414fd62b8_T6_REPEATED_NEIGHBOR_GLANCE.mp4,67250812f1c3da38...
india,acecf014-4c17-4345-94f2-060dac83479a,SEAT-ROOM-CALIB-01-07,24.13,MULTI_PERSON_DWELL_NEAR_SEAT,HIGH,98.5,100.0,1,data\optimization\after\india\evidence\acecf014-4c17-4345-94f2-060dac83479a_T7_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,fd9321ea77f01c78...
india,6134f3bf-db78-4551-8bc8-42ad217ad443,SEAT-ROOM-CALIB-01-16,33.57,MULTI_PERSON_DWELL_NEAR_SEAT,HIGH,89.6,89.6,1,data\optimization\after\india\evidence\6134f3bf-db78-4551-8bc8-42ad217ad443_T16_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,ae3d0d820b11f879...
india,374c16df-5111-4ec5-9ddb-29009558d888,SEAT-ROOM-CALIB-01-14,34.23,REPEATED_NEIGHBOR_GLANCE,HIGH,86.9,86.9,1,data\optimization\after\india\evidence\374c16df-5111-4ec5-9ddb-29009558d888_T14_REPEATED_NEIGHBOR_GLANCE.mp4,14a582c1aaad05a4...
india,0465157f-3fb5-4cb2-9d46-aa88089d719f,SEAT-ROOM-CALIB-01-07,34.67,REPEATED_NEIGHBOR_GLANCE,MEDIUM,80.3,100.0,1,data\optimization\after\india\evidence\0465157f-3fb5-4cb2-9d46-aa88089d719f_T7_REPEATED_NEIGHBOR_GLANCE.mp4,beacda2265e41917...
india,57751c8c-3981-48f1-a6c0-99bee5373d36,SEAT-ROOM-CALIB-01-20,36.6,REPEATED_NEIGHBOR_GLANCE,HIGH,87.5,87.5,1,data\optimization\after\india\evidence\57751c8c-3981-48f1-a6c0-99bee5373d36_T20_REPEATED_NEIGHBOR_GLANCE.mp4,5eac3b1e7c8658c5...
india,d90f36c5-0bf5-447c-a7e4-5ec3b10a1619,SEAT-ROOM-CALIB-01-16,38.83,REPEATED_NEIGHBOR_GLANCE,HIGH,85.9,89.6,1,data\optimization\after\india\evidence\d90f36c5-0bf5-447c-a7e4-5ec3b10a1619_T16_REPEATED_NEIGHBOR_GLANCE.mp4,8f7148861eed76ff...
india,ef26a409-ad9e-4b6d-8009-f070a4204c30,SEAT-ROOM-CALIB-01-18,40.87,REPEATED_NEIGHBOR_GLANCE,HIGH,90.3,100.0,1,data\optimization\after\india\evidence\ef26a409-ad9e-4b6d-8009-f070a4204c30_T18_REPEATED_NEIGHBOR_GLANCE.mp4,292e62f667c92eec...
india,f177c2f8-45db-491e-9605-9521d09e104a,SEAT-ROOM-CALIB-01-03,44.2,SUSPICIOUS_POSTURE,MEDIUM,82.2,82.2,1,data\optimization\after\india\evidence\f177c2f8-45db-491e-9605-9521d09e104a_T3_SUSPICIOUS_POSTURE.mp4,4e3b95f07a4c2919...
india,c0a47382-a63f-4df9-b1a5-d564dbf8dfe8,SEAT-ROOM-CALIB-01-06,44.5,NEIGHBOR_ORIENTED_LEAN,HIGH,97.1,97.1,1,data\optimization\after\india\evidence\c0a47382-a63f-4df9-b1a5-d564dbf8dfe8_T6_NEIGHBOR_ORIENTED_LEAN.mp4,335afcfbe65245b0...
india,3a120abe-6fd7-4d77-8bcd-9d20c64ec62e,SEAT-ROOM-CALIB-01-16,48.57,MULTI_PERSON_DWELL_NEAR_SEAT,HIGH,88.9,89.6,1,data\optimization\after\india\evidence\3a120abe-6fd7-4d77-8bcd-9d20c64ec62e_T16_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,49bf3a890c8680b5...
india,9fd81c46-4d0b-46a3-9337-529821ff24df,SEAT-ROOM-CALIB-01-15,51.87,MULTI_PERSON_DWELL_NEAR_SEAT,MEDIUM,83.5,83.5,1,data\optimization\after\india\evidence\9fd81c46-4d0b-46a3-9337-529821ff24df_T15_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,2ec9057bb19f3def...
india,4e78dd80-7681-471e-ae5d-bf1a6842bd31,SEAT-ROOM-CALIB-01-09,62.9,NEIGHBOR_ORIENTED_LEAN,MEDIUM,81.9,93.1,1,data\optimization\after\india\evidence\4e78dd80-7681-471e-ae5d-bf1a6842bd31_T9_NEIGHBOR_ORIENTED_LEAN.mp4,bcc81d8c220dbf49...
india,348f3e2f-6e2a-4895-9e89-ad8ef750d122,SEAT-ROOM-CALIB-01-06,64.1,MULTI_PERSON_DWELL_NEAR_SEAT,HIGH,85.4,97.1,1,data\optimization\after\india\evidence\348f3e2f-6e2a-4895-9e89-ad8ef750d122_T6_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,2b2eca64ecc727f4...
india,28fc28cd-b454-433f-a807-6341402318a2,SEAT-ROOM-CALIB-01-14,69.13,MULTI_PERSON_DWELL_NEAR_SEAT,MEDIUM,84.1,86.9,1,data\optimization\after\india\evidence\28fc28cd-b454-433f-a807-6341402318a2_T14_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,bf634821eb454f42...
india,26568696-e9b7-46c0-94e6-e76498b83478,SEAT-ROOM-CALIB-01-18,69.5,MULTI_PERSON_DWELL_NEAR_SEAT,HIGH,87.8,100.0,1,data\optimization\after\india\evidence\26568696-e9b7-46c0-94e6-e76498b83478_T18_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,b35768a1b554f881...
india,b80fcb52-d701-43f6-b522-26b6ebcf7cef,SEAT-ROOM-CALIB-01-09,69.73,MULTI_PERSON_DWELL_NEAR_SEAT,MEDIUM,84.0,93.1,1,data\optimization\after\india\evidence\b80fcb52-d701-43f6-b522-26b6ebcf7cef_T9_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,5f48f42673a5e95b...
india,8ba9458a-3968-40e5-8ca6-4693b824f924,SEAT-ROOM-CALIB-01-05,70.07,NEIGHBOR_ORIENTED_LEAN,HIGH,97.3,100.0,1,data\optimization\after\india\evidence\8ba9458a-3968-40e5-8ca6-4693b824f924_T5_NEIGHBOR_ORIENTED_LEAN.mp4,722ed1d4c5c13756...
student,edcf5825-1bf8-491f-b671-a66efbb93196,SEAT-STUDENT-05,9.7,MULTI_PERSON_DWELL_NEAR_SEAT,MEDIUM,84.1,84.1,1,data\optimization\after\student\evidence\edcf5825-1bf8-491f-b671-a66efbb93196_T1_MULTI_PERSON_DWELL_NEAR_SEAT.mp4,03fa55aa57588a1f...
