Human_Label,Seat_Code,Human_Start_s,Human_End_s,Status,AI_Label,AI_Start_s,AI_End_s,Temporal_IoU,Evidence_MP4
HEAD_TURN_RIGHT,SEAT-ROOM-CALIB-01-20,0.0,20.35,DETECTED,HEAD_TURN_RIGHT,9.7,26.1,0.408,NO
HEAD_TURN_RIGHT,SEAT-ROOM-CALIB-01-04,23.54,25.67,DETECTED,HEAD_TURN_RIGHT,23.4,26.8,0.626,NO
HEAD_TURN_LEFT,SEAT-ROOM-CALIB-01-15,25.79,29.68,DETECTED,HEAD_TURN_LEFT,25.9,29.4,0.9,NO
HEAD_TURN_RIGHT,SEAT-ROOM-CALIB-01-15,33.46,40.29,DETECTED,HEAD_TURN_RIGHT,33.9,39.5,0.825,NO
HEAD_TURN_RIGHT,SEAT-ROOM-CALIB-01-04,43.43,45.78,MISSED,None,N/A,N/A,0.263,NO
HEAD_TURN_LEFT,SEAT-ROOM-CALIB-01-16,43.59,46.78,DETECTED,HEAD_TURN_LEFT,43.2,46.7,0.868,NO
HEAD_TURN_RIGHT,SEAT-ROOM-CALIB-01-02,45.18,56.55,MISSED,None,N/A,N/A,0.167,NO
HEAD_TURN_RIGHT,SEAT-ROOM-CALIB-01-04,48.5,61.71,MISSED,None,N/A,N/A,0.204,NO
PHONE_OR_DEVICE_INTERACTION,SEAT-ROOM-CALIB-01-03,51.78,58.78,MISSED,None,N/A,N/A,0.0,NO
HEAD_TURN_RIGHT,SEAT-ROOM-CALIB-01-02,58.65,63.65,DETECTED,HEAD_TURN_RIGHT,58.7,64.5,0.851,NO
HEAD_TURN_RIGHT,SEAT-ROOM-CALIB-01-03,59.29,63.83,DETECTED,HEAD_TURN_RIGHT,59.8,67.0,0.518,NO
PHONE_OR_DEVICE_INTERACTION,SEAT-ROOM-CALIB-01-02,64.78,71.17,MISSED,None,N/A,N/A,0.0,NO
WRIST_BELOW_DESK,SEAT-ROOM-CALIB-01-02,64.95,70.73,MISSED,None,N/A,N/A,0.0,NO
